President,Position,Appointee,Start Date,End Date,Length of Tenure,Day of Admin of Departure
Clinton,Director of Central Intelligence,John Deutch,5/10/1995,12/15/1996,585,1426
Clinton,Secretary of Labor,Robert Reich,1/22/1993,1/10/1997,1449,1452
Clinton,Secretary of State,Warren Christopher,1/20/1993,1/17/1997,1458,1459
Clinton,Secretary of Housing & Urban Development,Henry Cisneros,1/22/1993,1/19/1997,1458,1461
Clinton,Chief of Staff,Leon Panetta,7/17/1994,1/20/1997,918,1462
Clinton,Secretary of Energy,Hazel O'Leary,1/22/1993,1/20/1997,1459,1462
Clinton,Secretary of Commerce,Mickey Kantor,4/12/1996,1/21/1997,284,1463
Clinton,UN Ambassador,Madeleine Albright,1/27/1993,1/21/1997,1455,1463
Clinton,Secretary of Defense,William Perry,2/3/1994,1/23/1997,1085,1465
Clinton,SBA Administrator,Philip Lader,10/8/1994,2/11/1997,857,1484
Clinton,Secretary of Transportation,Federico Peña,1/21/1993,2/14/1997,1485,1487
Clinton,Secretary of Veterans Affairs,Jesse Brown,1/23/1993,7/3/1997,1622,1626
Clinton,OMB Director,Frank Raines,9/13/1996,5/21/1998,615,1948
Clinton,Secretary of Energy,Federico Peña,3/12/1997,6/30/1998,475,1988
Clinton,UN Ambassador,Bill Richardson,2/18/1997,8/18/1998,546,2037
Clinton,Chief of Staff,Erskine Bowles,1/20/1997,10/20/1998,638,2100
Clinton,Secretary of the Treasury,Bob Rubin,1/10/1995,7/2/1999,1634,2355
Clinton,Secretary of Commerce,Bill Daley,1/30/1997,7/19/2000,1266,2738
Clinton,Secretary of Veterans Affairs,Togo West Jr.,5/5/1998,7/25/2000,812,2744
Clinton,Secretary of the Interior,Bruce Babbitt,1/22/1993,1/2/2001,2902,2905
Clinton,EPA Administrator,Carol Browner,1/22/1993,1/19/2001,2919,2922
Clinton,OMB Director,Jack Lew,5/21/1998,1/19/2001,974,2922
Clinton,Secretary of Agriculture,Dan Glickman,3/30/1995,1/19/2001,2122,2922
Clinton,Secretary of Commerce,Norman Mineta,7/21/2000,1/19/2001,182,2922
Clinton,Secretary of State,Madeleine Albright,1/23/1997,1/19/2001,1457,2922
Clinton,UN Ambassador,Richard Holbrooke,9/7/1999,1/19/2001,500,2922
Clinton,Attorney General,Janet Reno,3/12/1993,1/20/2001,2871,2923
Clinton,Chief of Staff,John Podesta,10/20/1998,1/20/2001,823,2923
Clinton,SBA Administrator,Aida Alvarez,3/7/1997,1/20/2001,1415,2923
Clinton,Secretary of Defense,William Cohen,1/24/1997,1/20/2001,1457,2923
Clinton,Secretary of Education,Dick Riley,1/21/1993,1/20/2001,2921,2923
Clinton,Secretary of Energy,Bill Richardson,8/18/1998,1/20/2001,886,2923
Clinton,Secretary of Health & Human Services,Donna Shalala,1/22/1993,1/20/2001,2920,2923
Clinton,Secretary of Housing & Urban Development,Andrew Cuomo,1/29/1997,1/20/2001,1452,2923
Clinton,Secretary of Labor,Alexis Herman,5/1/1997,1/20/2001,1360,2923
Clinton,Secretary of the Treasury,Larry Summers,7/2/1999,1/20/2001,568,2923
Clinton,Secretary of Transportation,Rodney Slater,2/14/1997,1/20/2001,1436,2923
Clinton,U.S. Trade Representative,Charlene Barshefsky,3/18/1997,1/20/2001,1404,2923
Clinton,Vice President,Al Gore,1/20/1993,1/20/2001,2922,2923
Clinton,Director of Central Intelligence,George Tenet,7/11/1997,Bush admin,2557 combined,#VALUE!
Bush 43,Secretary of the Treasury,Paul O'Neill,1/30/2001,12/31/2002,700,711
Bush 43,OMB Director,Mitch Daniels,1/23/2001,6/6/2003,864,868
Bush 43,EPA Administrator,Christine Todd Whitman,1/31/2001,6/27/2003,877,889
Bush 43,Secretary of Housing & Urban Development,Mel Martinez,1/24/2001,12/12/2003,1052,1057
Bush 43,UN Ambassador,John Negroponte,9/19/2001,6/23/2004,1008,1251
Bush 43,Director of Central Intelligence,George Tenet,Clinton admin,7/11/2004,2557 combined,1269
Bush 43,Secretary of Agriculture,Ann Veneman,1/20/2001,1/20/2005,1461,1462
Bush 43,Secretary of Education,Rod Paige,1/24/2001,1/20/2005,1457,1462
Bush 43,UN Ambassador,John Danforth,7/23/2004,1/20/2005,181,1462
Bush 43,EPA Administrator,Mike Leavitt,11/6/2003,1/25/2005,446,1467
Bush 43,Secretary of State,Colin Powell,1/20/2001,1/25/2005,1466,1467
Bush 43,Secretary of Health & Human Services,Tommy Thompson,2/2/2001,1/26/2005,1454,1468
Bush 43,Secretary of Veterans Affairs,Anthony Principi,1/23/2001,1/26/2005,1464,1468
Bush 43,Secretary of Energy,Spencer Abraham,1/20/2001,1/31/2005,1472,1473
Bush 43,Secretary of Homeland Security,Tom Ridge,1/24/2003,2/1/2005,739,1474
Bush 43,Attorney General,John Ashcroft,2/2/2001,2/3/2005,1462,1476
Bush 43,Secretary of Commerce,Donald Evans,1/20/2001,2/3/2005,1475,1476
Bush 43,U.S. Trade Representative,Robert Zoellick,2/7/2001,2/22/2005,1476,1495
Bush 43,Secretary of the Interior,Gale Norton,1/31/2001,3/31/2006,1885,1897
Bush 43,Chief of Staff,Andy Card,1/20/2001,4/14/2006,1910,1911
Bush 43,OMB Director,Josh Bolten,6/26/2003,4/14/2006,1023,1911
Bush 43,Director of Central Intelligence/CIA Director,Porter Goss,9/24/2004,5/5/2006,588,1932
Bush 43,U.S. Trade Representative,Rob Portman,5/17/2005,5/26/2006,374,1953
Bush 43,Secretary of the Treasury,John Snow,2/3/2003,6/29/2006,1242,1987
Bush 43,SBA Administrator,Hector Barreto,7/25/2001,7/2/2006,1803,1990
Bush 43,Secretary of Transportation,Norman Mineta,1/25/2001,7/7/2006,1989,1995
Bush 43,Secretary of Defense,Donald Rumsfeld,1/20/2001,12/18/2006,2158,2159
Bush 43,UN Ambassador,John Bolton,8/2/2005,12/31/2006,516,2172
Bush 43,Director of National Intelligence,John Negroponte,4/21/2005,2/13/2007,663,2216
Bush 43,OMB Director,Rob Portman,5/26/2006,8/3/2007,434,2387
Bush 43,Attorney General,Alberto Gonzales,2/3/2005,9/17/2007,956,2432
Bush 43,Secretary of Agriculture,Mike Johanns,1/21/2005,9/20/2007,972,2435
Bush 43,Secretary of Veterans Affairs,Jim Nicholson,2/1/2005,10/1/2007,972,2446
Bush 43,Secretary of Housing & Urban Development,Alphonso Jackson,3/31/2004,4/18/2008,1479,2646
Bush 43,SBA Administrator,Steve Preston,7/10/2006,6/5/2008,696,2694
Bush 43,OMB Director,Jim Nussle,9/4/2007,1/19/2009,503,2922
