politician,response,date,pct_estimate
Mike Pence,favorable,2023-03-20,28.77675911
Mike Pence,unfavorable,2023-03-20,50.39418132
Mike Pence,favorable,2023-03-19,28.77675911
Mike Pence,unfavorable,2023-03-19,50.39418132
Mike Pence,favorable,2023-03-18,28.77675911
Mike Pence,unfavorable,2023-03-18,50.39418132
Mike Pence,favorable,2023-03-17,28.77675911
Mike Pence,unfavorable,2023-03-17,50.39418132
Mike Pence,favorable,2023-03-16,28.77675911
Mike Pence,unfavorable,2023-03-16,50.39418132
Mike Pence,favorable,2023-03-15,28.90741547
Mike Pence,unfavorable,2023-03-15,52.23853152
Mike Pence,favorable,2023-03-14,36.36035139
Mike Pence,unfavorable,2023-03-14,48.86149402
Mike Pence,favorable,2023-03-13,36.36035139
Mike Pence,unfavorable,2023-03-13,48.86149402
Mike Pence,favorable,2023-03-12,36.36035139
Mike Pence,unfavorable,2023-03-12,48.86149402
Mike Pence,favorable,2023-03-11,36.36035139
Mike Pence,unfavorable,2023-03-11,48.86149402
Mike Pence,favorable,2023-03-10,36.36352904
Mike Pence,unfavorable,2023-03-10,48.86423157
Mike Pence,favorable,2023-03-09,36.02564052
Mike Pence,unfavorable,2023-03-09,49.01790435
Mike Pence,favorable,2023-03-08,36.2051807
Mike Pence,unfavorable,2023-03-08,48.40534685
Mike Pence,favorable,2023-03-07,36.2051807
Mike Pence,unfavorable,2023-03-07,48.40534685
Mike Pence,favorable,2023-03-06,36.2051807
Mike Pence,unfavorable,2023-03-06,48.40534685
Mike Pence,favorable,2023-03-05,38.15092511
Mike Pence,unfavorable,2023-03-05,47.08275788
Mike Pence,favorable,2023-03-04,38.15092511
Mike Pence,unfavorable,2023-03-04,47.08275788
Mike Pence,favorable,2023-03-03,38.15291284
Mike Pence,unfavorable,2023-03-03,47.08942521
Mike Pence,favorable,2023-03-02,32.826874
Mike Pence,unfavorable,2023-03-02,48.869347
Mike Pence,favorable,2023-03-01,32.826874
Mike Pence,unfavorable,2023-03-01,48.869347
Mike Pence,favorable,2023-02-28,34.353714
Mike Pence,unfavorable,2023-02-28,47.540779
Mike Pence,favorable,2023-02-27,34.353714
Mike Pence,unfavorable,2023-02-27,47.540779
Mike Pence,favorable,2023-02-26,34.353714
Mike Pence,unfavorable,2023-02-26,47.540779
Mike Pence,favorable,2023-02-25,34.353714
Mike Pence,unfavorable,2023-02-25,47.540779
Mike Pence,favorable,2023-02-24,34.353714
Mike Pence,unfavorable,2023-02-24,47.540779
Mike Pence,favorable,2023-02-23,34.353714
Mike Pence,unfavorable,2023-02-23,47.540779
Mike Pence,favorable,2023-02-22,34.353714
Mike Pence,unfavorable,2023-02-22,47.540779
Mike Pence,favorable,2023-02-21,34.353714
Mike Pence,unfavorable,2023-02-21,47.540779
Mike Pence,favorable,2023-02-20,34.353714
Mike Pence,unfavorable,2023-02-20,47.540779
Mike Pence,favorable,2023-02-19,34.353714
Mike Pence,unfavorable,2023-02-19,47.540779
Mike Pence,favorable,2023-02-18,34.353714
Mike Pence,unfavorable,2023-02-18,47.540779
Mike Pence,favorable,2023-02-17,34.353714
Mike Pence,unfavorable,2023-02-17,47.540779
Mike Pence,favorable,2023-02-16,34.353714
Mike Pence,unfavorable,2023-02-16,47.540779
Mike Pence,favorable,2023-02-15,28.737942
Mike Pence,unfavorable,2023-02-15,48.578285
Mike Pence,favorable,2023-02-14,28.737942
Mike Pence,unfavorable,2023-02-14,48.578285
Mike Pence,favorable,2023-02-13,31.848398
Mike Pence,unfavorable,2023-02-13,50.619564
Mike Pence,favorable,2023-02-12,31.848398
