NAME,pop_total_estimate_18to22,cvap_estimate_18to22,2023 cvap_turnout,2017 cvap_turnout,2015 cvap_turnout,2011 cvap_turnout,Biden margin 2020,POPPCT_URB_20,age_median_estimate_18to22,white_pct_18to22,black_pct_18to22,hisp_lat_pct_18to22,asian_pct_18to22,nh_pi_pct_18to22,ai_an_pct_18to22,lessHS_25over_pct_18to22,HSgrad_25over_pct_18to22,somecollege_25over_pct_18to22,bachhigher_25over_pct_18to22
"Richland County, Ohio",125008,97203,40.75%,26.41%,36.28%,43.01%,-39.50%,66.35%,40.9,84.47%,7.74%,2.13%,0.84%,0.13%,0.08%,10.44%,41.81%,29.99%,17.75%
"Ross County, Ohio",76957,60425,35.02%,21.82%,32.50%,35.10%,-34.93%,41.15%,41.3,88.74%,5.40%,1.38%,0.44%,0.03%,0.12%,11.31%,45.37%,26.79%,16.53%
"Sandusky County, Ohio",58885,45680,44.22%,29.50%,43.30%,46.69%,-27.26%,56.75%,42.3,82.74%,3.13%,10.55%,0.44%,0.01%,0.20%,6.84%,42.40%,32.43%,18.33%
"Scioto County, Ohio",73716,57418,30.66%,23.27%,31.10%,36.24%,-41.82%,44.66%,40.6,92.42%,2.73%,1.55%,0.48%,0.01%,0.22%,12.44%,43.38%,26.61%,17.56%
"Seneca County, Ohio",55062,42822,41.20%,28.66%,40.32%,44.62%,-33.83%,54.40%,40.6,88.73%,2.90%,5.55%,0.58%,0.00%,0.12%,6.60%,43.49%,31.05%,18.86%
"Shelby County, Ohio",48145,36061,48.21%,26.11%,43.06%,46.20%,-62.70%,42.99%,40.2,91.93%,2.04%,1.63%,0.74%,0.00%,0.17%,8.82%,41.14%,29.39%,20.65%
"Stark County, Ohio",374199,290746,43.37%,27.30%,38.44%,42.77%,-18.40%,85.24%,41.8,85.17%,7.38%,2.33%,0.90%,0.01%,0.07%,7.30%,37.95%,30.66%,24.09%
"Summit County, Ohio",539361,416405,45.78%,27.71%,36.71%,42.31%,9.46%,96.22%,41.1,74.90%,13.85%,2.44%,3.92%,0.01%,0.07%,7.47%,29.09%,28.87%,34.58%
"Trumbull County, Ohio",201749,159915,39.97%,26.95%,40.01%,43.99%,-10.48%,72.82%,44,85.69%,7.77%,2.03%,0.57%,0.08%,0.07%,10.42%,42.94%,26.62%,20.02%
"Tuscarawas County, Ohio",92840,70717,39.96%,24.00%,40.79%,42.50%,-39.41%,50.15%,41.1,93.51%,0.57%,3.42%,0.36%,0.00%,0.07%,11.24%,44.81%,24.28%,19.67%
"Union County, Ohio",63411,46895,54.61%,27.05%,40.31%,45.48%,-31.24%,54.99%,38.4,87.26%,2.49%,2.28%,4.69%,0.00%,0.14%,5.07%,30.54%,25.07%,39.32%
"Van Wert County, Ohio",28833,21993,43.55%,28.79%,41.69%,42.39%,-56.93%,49.58%,41.3,92.58%,0.71%,3.89%,0.11%,0.00%,0.03%,7.32%,44.20%,31.28%,17.20%
"Vinton County, Ohio",12790,10011,33.73%,27.63%,36.18%,40.62%,-54.07%,5.68%,43.6,96.06%,0.07%,0.23%,0.00%,0.00%,0.00%,19.74%,41.56%,23.26%,15.44%
"Warren County, Ohio",243189,176358,51.31%,29.34%,40.76%,48.02%,-30.56%,82.48%,39.5,83.77%,3.38%,3.12%,6.62%,0.00%,0.06%,5.17%,24.88%,25.29%,44.66%
"Washington County, Ohio",59639,47438,41.17%,29.23%,36.52%,44.71%,-40.39%,41.66%,44.1,94.24%,1.09%,1.15%,0.78%,0.00%,0.20%,8.24%,37.92%,33.36%,20.48%
"Wayne County, Ohio",116680,87300,42.13%,28.59%,39.25%,40.28%,-36.64%,44.16%,38.8,93.11%,1.30%,2.15%,1.11%,0.00%,0.08%,13.53%,39.09%,23.34%,24.03%
"Williams County, Ohio",36973,28422,42.27%,30.31%,39.95%,43.14%,-45.40%,24.90%,41.5,91.43%,1.17%,5.03%,0.57%,0.05%,0.11%,8.94%,43.16%,33.49%,14.41%
"Wood County, Ohio",131564,103074,44.66%,29.22%,37.92%,42.84%,-7.55%,69.93%,35.4,86.87%,1.95%,5.98%,1.84%,0.13%,0.15%,5.18%,28.27%,29.05%,37.51%
"Wyandot County, Ohio",21818,16821,45.59%,31.73%,42.64%,44.96%,-49.88%,30.26%,42.3,94.34%,0.16%,3.16%,0.67%,0.00%,0.01%,6.02%,46.36%,26.44%,21.19%
