year,state,chamber,district,metric,value,pct
2020,AZ,,23,two_plus_vap,5525,2.72
2020,AZ,,23,white_vap,171114,84.16
2020,AZ,,24,asian_vap,6136,3.33
2020,AZ,,24,biden_2020,,70.61
2020,AZ,,24,black_vap,13212,7.17
2020,AZ,,24,hispanic_vap,57456,31.19
2020,AZ,,24,native_vap,4725,2.56
2020,AZ,,24,other_vap,991,0.54
2020,AZ,,24,pacisl_vap,314,0.17
2020,AZ,,24,pvi,D+34.3,
2020,AZ,,24,total_pop,225034,
2020,AZ,,24,total_vap,184222,100
2020,AZ,,24,trump_2020,,27.71
2020,AZ,,24,two_plus_vap,6638,3.6
2020,AZ,,24,white_vap,94750,51.43
2020,AZ,,25,asian_vap,4397,2.33
2020,AZ,,25,biden_2020,,41.11
2020,AZ,,25,black_vap,6142,3.25
2020,AZ,,25,hispanic_vap,35491,18.8
2020,AZ,,25,native_vap,3073,1.63
2020,AZ,,25,other_vap,761,0.4
2020,AZ,,25,pacisl_vap,541,0.29
2020,AZ,,25,pvi,R+25.1,
2020,AZ,,25,total_pop,241534,
2020,AZ,,25,total_vap,188793,100
2020,AZ,,25,trump_2020,,57.03
2020,AZ,,25,two_plus_vap,5909,3.13
2020,AZ,,25,white_vap,132479,70.17
2020,AZ,,26,asian_vap,13793,7.29
2020,AZ,,26,biden_2020,,66.48
2020,AZ,,26,black_vap,11378,6.01
2020,AZ,,26,hispanic_vap,61016,32.26
2020,AZ,,26,native_vap,7868,4.16
2020,AZ,,26,other_vap,930,0.49
2020,AZ,,26,pacisl_vap,825,0.44
2020,AZ,,26,pvi,D+25.5,
2020,AZ,,26,total_pop,236974,
2020,AZ,,26,total_vap,189161,100
2020,AZ,,26,trump_2020,,31.09
2020,AZ,,26,two_plus_vap,7227,3.82
2020,AZ,,26,white_vap,86124,45.53
2020,AZ,,27,asian_vap,6004,3.52
2020,AZ,,27,biden_2020,,75.15
2020,AZ,,27,black_vap,26489,15.54
2020,AZ,,27,hispanic_vap,87216,51.16
2020,AZ,,27,native_vap,6406,3.76
2020,AZ,,27,other_vap,801,0.47
2020,AZ,,27,pacisl_vap,566,0.33
2020,AZ,,27,pvi,D+45.2,
2020,AZ,,27,total_pop,236734,
2020,AZ,,27,total_vap,170486,100
2020,AZ,,27,trump_2020,,23.22
2020,AZ,,27,two_plus_vap,4104,2.41
2020,AZ,,27,white_vap,38900,22.82
2020,AZ,,28,asian_vap,6034,3.28
2020,AZ,,28,biden_2020,,55.3
2020,AZ,,28,black_vap,6309,3.43
2020,AZ,,28,hispanic_vap,36841,20.05
2020,AZ,,28,native_vap,2234,1.22
2020,AZ,,28,other_vap,837,0.46
2020,AZ,,28,pacisl_vap,216,0.12
2020,AZ,,28,pvi,D+2.9,
2020,AZ,,28,total_pop,231304,
2020,AZ,,28,total_vap,183788,100
2020,AZ,,28,trump_2020,,43.31
2020,AZ,,28,two_plus_vap,6131,3.34
2020,AZ,,28,white_vap,125186,68.11
2020,AZ,,29,asian_vap,4865,3.02
2020,AZ,,29,biden_2020,,67.01
2020,AZ,,29,black_vap,11744,7.3
2020,AZ,,29,hispanic_vap,105385,65.47
2020,AZ,,29,native_vap,1938,1.2
2020,AZ,,29,other_vap,567,0.35
2020,AZ,,29,pacisl_vap,250,0.16
2020,AZ,,29,pvi,D+28.4,
2020,AZ,,29,total_pop,233933,
2020,AZ,,29,total_vap,160969,100
2020,AZ,,29,trump_2020,,31.51
2020,AZ,,29,two_plus_vap,3253,2.02
2020,AZ,,29,white_vap,32967,20.48
2020,AZ,,30,asian_vap,7162,4.29
2020,AZ,,30,biden_2020,,65.78
2020,AZ,,30,black_vap,14821,8.87
